pageid,title,url,revision_id,revision_timestamp,categories,file
148594,Euler's constant,https://en.wikipedia.org/wiki/Euler%27s_constant,1376177158,2026-09-22T15:15:29Z,Category:Unsolved problems in number theory,pages/148594.wiki
12756318,Feit–Thompson conjecture,https://en.wikipedia.org/wiki/Feit%E2%80%93Thompson_conjecture,1353413994,2026-05-10T03:38:37Z,Category:Unsolved problems in number theory,pages/12756318.wiki
91127,Fermat number,https://en.wikipedia.org/wiki/Fermat_number,1376030176,2026-09-21T16:11:11Z,Category:Unsolved problems in number theory,pages/91127.wiki
22736152,Fermat–Catalan conjecture,https://en.wikipedia.org/wiki/Fermat%E2%80%93Catalan_conjecture,1357791543,2026-06-04T18:23:04Z,Category:Abc conjecture; Category:Unsolved problems in number theory,pages/22736152.wiki
2502261,Fibonacci prime,https://en.wikipedia.org/wiki/Fibonacci_prime,1350416485,2026-04-21T20:48:33Z,Category:Unsolved problems in number theory,pages/2502261.wiki
36793030,Firoozbakht's conjecture,https://en.wikipedia.org/wiki/Firoozbakht%27s_conjecture,1368644115,2026-08-10T07:06:56Z,Category:Unsolved problems in number theory,pages/36793030.wiki
15114628,Four exponentials conjecture,https://en.wikipedia.org/wiki/Four_exponentials_conjecture,1311761643,2025-09-16T19:29:46Z,Category:Unsolved problems in number theory,pages/15114628.wiki
3821872,Friendly number,https://en.wikipedia.org/wiki/Friendly_number,1361499529,2026-06-28T09:18:12Z,Category:Unsolved problems in number theory,pages/3821872.wiki
19474055,Gauss circle problem,https://en.wikipedia.org/wiki/Gauss_circle_problem,1369581427,2026-08-15T21:38:21Z,Category:Unsolved problems in number theory,pages/19474055.wiki
35633206,Gaussian moat,https://en.wikipedia.org/wiki/Gaussian_moat,1358223053,2026-06-07T10:34:29Z,Category:Unsolved problems in number theory,pages/35633206.wiki
152567,Generalized Riemann hypothesis,https://en.wikipedia.org/wiki/Generalized_Riemann_hypothesis,1370923804,2026-08-23T19:14:03Z,Category:Unsolved problems in mathematics,pages/152567.wiki
1010141,Gilbreath's conjecture,https://en.wikipedia.org/wiki/Gilbreath%27s_conjecture,1348550815,2026-04-13T06:25:06Z,Category:Unsolved problems in number theory,pages/1010141.wiki
41730066,Gillies' conjecture,https://en.wikipedia.org/wiki/Gillies%27_conjecture,1364886556,2026-07-19T02:19:38Z,Category:Unsolved problems in number theory,pages/41730066.wiki
2771364,Giuga number,https://en.wikipedia.org/wiki/Giuga_number,1374126910,2026-09-10T00:51:33Z,Category:Unsolved problems in number theory,pages/2771364.wiki
44758,Goldbach's conjecture,https://en.wikipedia.org/wiki/Goldbach%27s_conjecture,1376004572,2026-09-21T12:05:31Z,Category:Unsolved problems in number theory,pages/44758.wiki
11327223,Goormaghtigh conjecture,https://en.wikipedia.org/wiki/Goormaghtigh_conjecture,1374401321,2026-09-11T21:08:33Z,Category:Unsolved problems in number theory,pages/11327223.wiki
